Currency Portfolio,SD_A,SD_B,Correlation,Weight_A,Weight_B,SD_Portfolio
"EURGBP, AUDCHF",0.0031450157923897594,0.004929714412086799,-0.366990009,0.6574337435771253,0.34156625955036546,0.0021342481239389095
"EURGBP, AUDJPY",0.0031450157923897594,0.005240560682396569,-0.300014206,0.6852865553287824,0.31371344476874163,0.0022851312259036475
"EURGBP, AUDNZD",0.0031450157923897594,0.0026594863002857142,0.017062825,0.41509441137762726,0.5839055886277388,0.0020457076298951837
"EURGBP, AUDUSD",0.0031450157923897594,0.005694980352076298,-0.119000155,0.7411927437849628,0.2578072564883804,0.0026028704554757584
"EURGBP, CADCHF",0.0031450157923897594,0.004572709310072677,-0.475056497,0.6232827198494996,0.3757172801701797,0.0018958995556024633
"EURGBP, CADJPY",0.0031450157923897594,0.005006462273863392,-0.322644617,0.6674992837735961,0.33150071729496977,0.002216579108566022
"EURGBP, CHFJPY",0.0031450157923897594,0.003540047728632148,0.013580932,0.5591342622885264,0.43986573774896254,0.002364603813277879
"EURGBP, GBPAUD",0.0031450157923897594,0.0037629093399284635,-0.464760599,0.5603102138875037,0.438689786188853,0.0017681518886784747
"EURGBP, GBPCAD",0.0031450157923897594,0.0036677072192094467,-0.303821663,0.5581061430814065,0.4408938569198952,0.0019927648887340427
"EURGBP, GBPCHF",0.0031450157923897594,0.003926983303523448,-0.809371439,0.5604654963764155,0.43853450382320397,0.0010765510535108798
"EURGBP, GBPJPY",0.0031450157923897594,0.004258289372084055,-0.671880733,0.5889553720521565,0.4100446280466329,0.001460720597850877
"EURGBP, GBPNZD",0.0031450157923897594,0.004486613738405376,-0.359751529,0.6267804985255252,0.37221950171851137,0.002075114224617647
"EURGBP, GBPUSD",0.0031450157923897594,0.004008065275354046,-0.560066035,0.5764399235023381,0.42256007676305396,0.0016479692493081954
"EURGBP, NZDCAD",0.0031450157923897594,0.004623473598561431,0.014943249,0.6855806558608872,0.31341934456869425,0.002615772208138218
"EURGBP, NZDCHF",0.0031450157923897594,0.0053085813137106206,0.036929262,0.7474930370859667,0.25150696308187764,0.0027460993359298643
"EURGBP, NZDJPY",0.0031450157923897594,0.006011406094778575,-0.264136734,0.7335594185967103,0.2654405824295196,0.002433914350734579
"EURGBP, NZDUSD",0.0031450157923897594,0.00631840931500294,-0.116085893,0.7751564471461124,0.22384355625280222,0.0026726533800159754
"EURGBP, USDCAD",0.0031450157923897594,0.00428429729945368,0.27040852,0.7012147821058381,0.2977852178955726,0.002830684853290474
"EURGBP, USDCHF",0.0031450157923897594,0.00410165576752468,-0.210364387,0.6072378566836334,0.39176214332619275,0.0022221964329046094
"EURGBP, USDJPY",0.0031450157923897594,0.0032627106971484447,-0.215177328,0.5145967374434606,0.4844032625794127,0.002004086112572588
"EURJPY, EURNZD",0.003256026254424975,0.004604539279170059,-0.085994757,0.653501317379209,0.34549868262527805,0.002544848563150068
"EURJPY, AUDCAD",0.003256026254424975,0.0039372166273831145,-0.23382737,0.5757542635774916,0.42324573642598495,0.002197811274776543
"EURJPY, AUDCHF",0.003256026254424975,0.004929714412086799,0.123449349,0.7206823449646667,0.2783176550619586,0.0028607175303128765
